candidates,MMD_cdt,MMD_Fr,CorrD,BinnedD,CorrD_N,NpMom,CndD,EDF_Mrg
MCC,0.21593723,3.9277973,0.56821746,1.8460726,0.9513056,1.0350416,0.46137905,6.9790554
SAT,0.08509404,1.3133485,0.6762851,1.364497,1.7296273,9.052807,0.2765519,4.768756
SLM,0.058429383,1.1137103,0.29244357,0.53759325,0.34577352,2.434922,0.14590557,1.7915558
SDM,0.09769909,1.0700966,1.1789551,1.4035071,0.7978033,1.7331244,0.32843956,2.850863
SCC,0.14885196,1.7241074,2.5041878,3.2441494,0.83169615,0.11613293,0.6849428,4.7459645
NSS,0.15171295,1.8687967,1.7424359,2.1311998,1.9470688,22.663776,0.40521297,4.286505
VIM,0.19187534,1.4974463,0.64798933,6.5401564,0.6643748,2.8582506,1.1824261,2.8293252
CCC,0.40839234,3.2804086,8.363365,5.640875,9.840906,5.4081926,0.84333783,2.4459956
DIS,0.3998563,3.6217582,8.113851,5.5960565,9.530357,5.91056,0.8342521,2.3240743
